cellid,endid,blur,lon,lat,dist,blon,blat 
126.458752.1,458752,40.0,104.067636,30.665546,500.0,104.0709897020373,30.66900084774375
126.458752.31,458752,40.0,104.067636,30.665546,500.0,104.0709897020373,30.66900084774375
126.458752.32,458752,210.0,104.067636,30.665546,500.0,104.0650274806392,30.66164016246483
126.458752.33,458752,300.0,104.067636,30.665546,500.0,104.06311762530176,30.667800941618328
126.458753.31,458753,60.0,104.00254,30.70645,500.0,104.00706027999755,30.708704927276628
126.458753.32,458753,180.0,104.00254,30.70645,500.0,104.00254,30.70193998574435
126.458753.33,458753,300.0,104.00254,30.70645,500.0,103.99801972000245,30.708704927276628
126.458754.1,458754,60.0,104.116944,30.608611,500.0,104.12145972918083,30.610865961562222
126.458754.31,458754,60.0,104.116944,30.608611,500.0,104.12145972918083,30.610865961562222
126.458754.32,458754,180.0,104.116944,30.608611,500.0,104.116944,30.60410091778581
126.458754.33,458754,270.0,104.116944,30.608611,500.0,104.11172980589483,30.608610895508168
126.458755.31,458755,60.0,104.026,30.6643,500.0,104.03051831672117,30.666554942055026
126.458755.32,458755,180.0,104.026,30.6643,500.0,104.026,30.659789956451608
126.458755.33,458755,300.0,104.026,30.6643,500.0,104.02148168327882,30.666554942055026
126.458756.31,458756,60.0,103.961001,30.7672,500.0,103.9655241169443,30.769454905956
126.458756.32,458756,180.0,103.961001,30.7672,500.0,103.961001,30.762690028004627
126.458756.33,458756,320.0,103.961001,30.7672,500.0,103.95764377792746,30.770654793415673
126.458757.1,458757,60.0,104.101001,30.6775,500.0,104.10551993110855,30.67975493742819
126.458757.31,458757,60.0,104.101001,30.6775,500.0,104.10551993110855,30.67975493742819
126.458757.32,458757,180.0,104.101001,30.6775,500.0,104.101001,30.672989965622616
126.458757.33,458757,300.0,104.101001,30.6775,500.0,104.09648206889145,30.67975493742819
126.458758.31,458758,100.0,104.05659,30.65635,500.0,104.06172745896438,30.65556673689077
126.458758.32,458758,190.0,104.05659,30.65635,500.0,104.0556841614823,30.65190846557531
126.458758.33,458758,270.0,104.05659,30.65635,500.0,104.05137324539525,30.656349895310424
126.458759.31,458759,90.0,104.02957,30.64835,500.0,104.03478632509363,30.64834989534357
126.458759.32,458759,0.0,104.02957,30.64835,500.0,104.02957,30.652860051494688
126.458759.33,458759,0.0,104.02957,30.64835,500.0,104.02957,30.652860051494688
126.458759.34,458759,270.0,104.035019,30.644191,500.0,104.02980289813034,30.644190895360804
126.458759.35,458759,0.0,104.029517,30.650219,500.0,104.029517,30.654729050196586
126.458759.36,458759,0.0,104.03276,30.65063,500.0,104.03276,30.655140049911118
126.458760.31,458760,60.0,103.98001,30.733888,500.0,103.98453156024637,30.736142917650117
126.458760.32,458760,180.0,103.98001,30.733888,500.0,103.98001,30.72937800482537
126.458760.33,458760,300.0,103.98001,30.733888,500.0,103.97548843975362,30.736142917650117
126.458761.1,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458761.2,458761,0.0,103.965932,30.730556,500.0,103.965932,30.735065994355207
126.458761.31,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458761.32,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458761.33,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458761.34,458761,0.0,103.965932,30.730556,500.0,103.965932,30.735065994355207
126.458761.5,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458761.6,458761,0.0,103.965833,30.730555,500.0,103.965833,30.735064994355888
126.458762.1,458762,0.0,104.081388,30.632222,500.0,104.081388,30.636732062694396
126.458762.31,458762,0.0,104.081388,30.632222,500.0,104.081388,30.636732062694396
126.458762.32,458762,180.0,104.081388,30.632222,500.0,104.081388,30.627711934174304
126.458762.33,458762,0.0,104.081388,30.632222,500.0,104.081388,30.636732062694396
126.458763.31,458763,5.0,104.07481,30.58182,500.0,104.07526434290752,30.58631293460246
126.458763.32,458763,210.0,104.07481,30.58182,500.0,104.07220372454825,30.577914112219393
126.458763.33,458763,310.0,104.07481,30.58182,500.0,104.07081667549608,30.58471897398672
126.458764.31,458764,50.0,104.0792,30.6667,500.0,104.08319681104643,30.66959893590622
