小区标识,所属eNodeB标识,天线方向角,经度,纬度,距离(米),B经度,B纬度
126.458752.1,458752,40,104.067636,30.665546,500,,
126.458752.31,458752,40,104.067636,30.665546,500,,
126.458752.32,458752,210,104.067636,30.665546,500,,
126.458752.33,458752,300,104.067636,30.665546,500,,
126.458753.31,458753,60,104.00254,30.70645,500,,
126.458753.32,458753,180,104.00254,30.70645,500,,
126.458753.33,458753,300,104.00254,30.70645,500,,
126.458754.1,458754,60,104.116944,30.608611,500,,
126.458754.31,458754,60,104.116944,30.608611,500,,
126.458754.32,458754,180,104.116944,30.608611,500,,
126.458754.33,458754,270,104.116944,30.608611,500,,
126.458755.31,458755,60,104.026,30.6643,500,,
126.458755.32,458755,180,104.026,30.6643,500,,
126.458755.33,458755,300,104.026,30.6643,500,,
126.458756.31,458756,60,103.961001,30.7672,500,,
126.458756.32,458756,180,103.961001,30.7672,500,,
126.458756.33,458756,320,103.961001,30.7672,500,,
126.458757.1,458757,60,104.101001,30.6775,500,,
126.458757.31,458757,60,104.101001,30.6775,500,,
126.458757.32,458757,180,104.101001,30.6775,500,,
126.458757.33,458757,300,104.101001,30.6775,500,,
126.458758.31,458758,100,104.05659,30.65635,500,,
126.458758.32,458758,190,104.05659,30.65635,500,,
126.458758.33,458758,270,104.05659,30.65635,500,,
126.458759.31,458759,90,104.02957,30.64835,500,,
126.458759.32,458759,0,104.02957,30.64835,500,,
126.458759.33,458759,0,104.02957,30.64835,500,,
126.458759.34,458759,270,104.035019,30.644191,500,,
126.458759.35,458759,0,104.029517,30.650219,500,,
126.458759.36,458759,0,104.03276,30.65063,500,,
126.458760.31,458760,60,103.98001,30.733888,500,,
126.458760.32,458760,180,103.98001,30.733888,500,,
126.458760.33,458760,300,103.98001,30.733888,500,,
126.458761.1,458761,0,103.965833,30.730555,500,,
126.458761.2,458761,0,103.965932,30.730556,500,,
126.458761.31,458761,0,103.965833,30.730555,500,,
126.458761.32,458761,0,103.965833,30.730555,500,,
126.458761.33,458761,0,103.965833,30.730555,500,,
126.458761.34,458761,0,103.965932,30.730556,500,,
126.458761.5,458761,0,103.965833,30.730555,500,,
126.458761.6,458761,0,103.965833,30.730555,500,,
126.458762.1,458762,0,104.081388,30.632222,500,,
126.458762.31,458762,0,104.081388,30.632222,500,,
126.458762.32,458762,180,104.081388,30.632222,500,,
126.458762.33,458762,0,104.081388,30.632222,500,,
126.458763.31,458763,5,104.07481,30.58182,500,,
126.458763.32,458763,210,104.07481,30.58182,500,,
126.458763.33,458763,310,104.07481,30.58182,500,,
126.458764.31,458764,50,104.0792,30.6667,500,,
126.458764.32,458764,50,104.0792,30.6667,500,,
126.458764.33,458764,230,104.0792,30.6667,500,,
126.458764.34,458764,230,104.0792,30.6667,500,,
126.458765.31,458765,20,104.028333,30.627777,500,,
126.458765.32,458765,220,104.028333,30.627777,500,,
126.458765.33,458765,0,104.028333,30.627777,500,,
126.458765.34,458765,20,104.028333,30.627777,500,,
126.458766.31,458766,60,104.05705,30.66039,500,,
126.458766.32,458766,180,104.05705,30.66039,500,,
126.458766.33,458766,300,104.05705,30.66039,500,,
126.458767.31,458767,90,104.075833,30.643333,500,,
126.458767.32,458767,190,104.075833,30.643333,500,,
126.458767.33,458767,290,104.075833,30.643333,500,,
126.458768.31,458768,90,103.986001,30.6697,500,,
126.458768.32,458768,180,103.986001,30.6697,500,,
126.458768.33,458768,330,103.986001,30.6697,500,,
126.458769.31,458769,90,104.067777,30.671944,500,,
126.458769.32,458769,160,104.067777,30.671944,500,,
126.458769.33,458769,260,104.067777,30.671944,500,,
126.458770.31,458770,20,104.025001,30.5912,500,,
126.458770.32,458770,180,104.025001,30.5912,500,,
126.458770.33,458770,270,104.025001,30.5912,500,,
126.458771.31,458771,60,104.026666,30.603888,500,,
126.458771.32,458771,180,104.026666,30.603888,500,,
126.458771.33,458771,300,104.026666,30.603888,500,,
126.458771.4,458771,60,104.026666,30.603888,500,,
126.458771.5,458771,180,104.026666,30.603888,500,,
126.458771.6,458771,300,104.026666,30.603888,500,,
126.458772.31,458772,70,104.038,30.6939,500,,
126.458772.32,458772,180,104.038,30.6939,500,,
126.458772.33,458772,330,104.038,30.6939,500,,
126.458773.31,458773,90,104.102222,30.684722,500,,
126.458773.32,458773,190,104.102222,30.684722,500,,
126.458773.33,458773,340,104.102222,30.684722,500,,
126.458774.31,458774,10,104.023001,30.6489,500,,
126.458774.32,458774,0,104.023001,30.6489,500,,
126.458774.33,458774,0,104.023001,30.6489,500,,
126.458774.34,458774,310,104.023001,30.6489,500,,
126.458775.31,458775,54,104.022777,30.610277,500,,
126.458775.32,458775,180,104.022777,30.610277,500,,
126.458775.33,458775,310,104.022777,30.610277,500,,
126.458776.31,458776,10,104.074512,30.666213,500,,
126.458776.32,458776,100,104.074512,30.666213,500,,
126.458776.33,458776,190,104.074512,30.666213,500,,
126.458777.31,458777,60,104.111666,30.653888,500,,
126.458777.32,458777,180,104.111666,30.653888,500,,
126.458777.33,458777,300,104.111666,30.653888,500,,
126.458778.31,458778,60,104.0075,30.704722,500,,
126.458778.32,458778,180,104.0075,30.704722,500,,
126.458778.33,458778,300,104.0075,30.704722,500,,
126.458779.31,458779,60,104.0138,30.68271,500,,
126.458779.32,458779,180,104.0138,30.68271,500,,
126.458779.33,458779,300,104.0138,30.68271,500,,
126.458780.31,458780,60,103.9838,30.6637,500,,
126.458780.32,458780,180,103.9838,30.6637,500,,
126.458780.33,458780,300,103.9838,30.6637,500,,
126.458781.31,458781,80,104.028001,30.6316,500,,
126.458781.32,458781,180,104.028001,30.6316,500,,
126.458781.33,458781,336,104.028001,30.6316,500,,
126.458782.31,458782,60,104.056111,30.632777,500,,
126.458782.32,458782,175,104.056111,30.632777,500,,
126.458782.33,458782,330,104.056111,30.632777,500,,
126.458783.31,458783,60,104.016,30.6524,500,,
126.458783.32,458783,200,104.016,30.6524,500,,
126.458783.33,458783,310,104.016,30.6524,500,,
126.458784.31,458784,60,104.059166,30.624722,500,,
126.458784.32,458784,180,104.059166,30.624722,500,,
126.458784.33,458784,300,104.059166,30.624722,500,,
126.458785.31,458785,200,104.10833,30.65618,500,,
126.458785.32,458785,350,104.10833,30.65618,500,,
126.458786.31,458786,60,104.018,30.5837,500,,
126.458786.32,458786,180,104.018,30.5837,500,,
126.458786.33,458786,270,104.018,30.5837,500,,
126.458787.31,458787,60,104.074444,30.657222,500,,
126.458787.32,458787,180,104.074444,30.657222,500,,
126.458787.33,458787,300,104.074444,30.657222,500,,
126.458787.4,458787,60,104.074444,30.657222,500,,
126.458787.5,458787,180,104.074444,30.657222,500,,
126.458788.31,458788,70,104.052777,30.618888,500,,
126.458788.32,458788,210,104.052777,30.618888,500,,
126.458788.33,458788,310,104.052777,30.618888,500,,
126.458789.31,458789,60,104.037001,30.6345,500,,
126.458789.32,458789,180,104.037001,30.6345,500,,
126.458789.33,458789,300,104.037001,30.6345,500,,
126.458790.31,458790,140,104.048611,30.617777,500,,
126.458790.32,458790,210,104.048611,30.617777,500,,
126.458790.33,458790,0,104.048611,30.617777,500,,
126.458791.31,458791,41,104.073001,30.5907,500,,
126.458791.32,458791,180,104.073001,30.5907,500,,
126.458791.33,458791,300,104.073001,30.5907,500,,
126.458791.34,458791,41,104.073001,30.5907,500,,
126.458791.35,458791,180,104.073001,30.5907,500,,
126.458791.36,458791,300,104.073001,30.5907,500,,
126.458792.31,458792,60,104.057001,30.6164,500,,
126.458792.32,458792,180,104.057001,30.6164,500,,
126.458792.33,458792,300,104.057001,30.6164,500,,
126.458793.31,458793,55,104.070833,30.693611,500,,
126.458793.32,458793,175,104.070833,30.693611,500,,
126.458793.33,458793,295,104.070833,30.693611,500,,
126.458794.31,458794,60,104.047777,30.632777,500,,
126.458794.32,458794,160,104.047777,30.632777,500,,
126.458794.33,458794,300,104.047777,30.632777,500,,
126.458795.31,458795,30,104.050555,30.621944,500,,
126.458795.32,458795,310,104.050555,30.621944,500,,
126.458795.33,458795,190,104.050555,30.621944,500,,
126.458796.31,458796,60,104.03001,30.644722,500,,
126.458796.32,458796,180,104.03001,30.644722,500,,
126.458796.33,458796,300,104.03001,30.644722,500,,
126.458797.31,458797,60,104.096388,30.656388,500,,
126.458797.32,458797,180,104.096388,30.656388,500,,
126.458797.33,458797,300,104.096388,30.656388,500,,
126.458798.31,458798,60,104.053055,30.649166,500,,
126.458798.32,458798,180,104.053055,30.649166,500,,
126.458798.33,458798,300,104.053055,30.649166,500,,
126.458799.1,458799,60,104.067777,30.662222,500,,
126.458799.31,458799,60,104.067777,30.662222,500,,
126.458799.32,458799,180,104.067777,30.662222,500,,
126.458799.33,458799,300,104.067777,30.662222,500,,
126.458800.31,458800,80,104.076944,30.641944,500,,
126.458800.32,458800,200,104.076944,30.641944,500,,
126.458800.33,458800,300,104.076944,30.641944,500,,
126.458801.2,458801,,104.109722,30.685001,500,,
126.458801.31,458801,60,104.109722,30.685001,500,,
126.458801.32,458801,180,104.109722,30.685001,500,,
126.458801.33,458801,270,104.109722,30.685001,500,,
126.458802.31,458802,45,103.989722,30.636666,500,,
126.458802.32,458802,150,103.989722,30.636666,500,,
126.458802.33,458802,320,103.989722,30.636666,500,,
126.458803.31,458803,60,104.065277,30.612777,500,,
126.458803.32,458803,190,104.065277,30.612777,500,,
126.458803.33,458803,290,104.065277,30.612777,500,,
126.458804.31,458804,60,104.085001,30.6412,500,,
126.458804.32,458804,180,104.085001,30.6412,500,,
126.458804.33,458804,300,104.085001,30.6412,500,,
126.458805.31,458805,60,104.066111,30.611111,500,,
126.458805.32,458805,180,104.066111,30.611111,500,,
126.458805.33,458805,300,104.066111,30.611111,500,,
126.458806.31,458806,60,104.044722,30.646111,500,,
126.458806.32,458806,180,104.044722,30.646111,500,,
126.458806.33,458806,300,104.044722,30.646111,500,,
126.458806.4,458806,60,104.044722,30.646111,500,,
126.458806.5,458806,180,104.044722,30.646111,500,,
126.458806.6,458806,300,104.044722,30.646111,500,,
126.458807.31,458807,60,104.060833,30.6825,500,,
126.458807.32,458807,180,104.060833,30.6825,500,,
126.458807.33,458807,300,104.060833,30.6825,500,,
126.458807.4,458807,60,104.060833,30.6825,500,,
126.458807.5,458807,180,104.060833,30.6825,500,,
126.458807.6,458807,300,104.060833,30.6825,500,,
126.458808.31,458808,60,104.069722,30.6175,500,,
126.458808.32,458808,180,104.069722,30.6175,500,,
126.458808.33,458808,300,104.069722,30.6175,500,,
126.458809.31,458809,80,104.012777,30.643611,500,,
126.458809.32,458809,200,104.012777,30.643611,500,,
126.458809.33,458809,300,104.012777,30.643611,500,,
126.458810.31,458810,50,104.034444,30.614166,500,,
126.458810.32,458810,200,104.034444,30.614166,500,,
126.458810.33,458810,310,104.034444,30.614166,500,,
126.458811.31,458811,60,104.068055,30.595833,500,,
126.458811.32,458811,180,104.068055,30.595833,500,,
126.458811.33,458811,270,104.068055,30.595833,500,,
126.458811.34,458811,60,104.068055,30.595833,500,,
126.458811.35,458811,180,104.068055,30.595833,500,,
126.458811.36,458811,270,104.068055,30.595833,500,,
126.458812.31,458812,66,104.068055,30.653611,500,,
126.458812.32,458812,140,104.068055,30.653611,500,,
126.458812.33,458812,280,104.068055,30.653611,500,,
126.458813.31,458813,60,104.093611,30.626388,500,,
126.458813.32,458813,180,104.093611,30.626388,500,,
126.458813.33,458813,300,104.093611,30.626388,500,,
